Record - metadata - oai_dc:dc - xsi:schemaLocation	dc:subject	Record - metadata - oai_dc:dc - dc:subject - xsi:type	Record - metadata - oai_dc:dc - dc:subject - ddb:GND-Nr	dc:creator	dc:type	Record - metadata - oai_dc:dc - dc:audience	dc:identifier	dc:rights	dc:title	dc:format	dc:date	dc:language	dc:description	Record - metadata - oai_dc:dc - dc:relation	dc:contributor	dc:publisher	dc:source	Record - header - setSpec	Record - header - datestamp
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Ökobilanz			Wünschmann, Sven	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/489	info:eu-repo/semantics/openAccess	Gebäudestrukturen und deren Einfluss auf die ökologische Lebenszyklusqualität. Analyse von gebäudebezogenen LCA – Daten im Zusammenhang mit konstruktiven Gebäudestrukturen als Optimierungsgrundlage in frühen Planungsphasen	application/pdf	2018-01-01	ger	"In der vorliegenden Dissertation wurden die Möglichkeiten einer planungsbegleitenden Herangehensweise im Zusammenhang mit der Erstellung von Ökobilanzierungen untersucht und im Vergleich zur heute üblichen Praxis betrachtet. Dafür wurden Referenzprojekte detailliert betrachtet und die Input- und Output-Ströme analysiert. Weiterhin stand im Fokus, in welcher Planungsphase welche Baukonstruktionen oder deren Bestandteile planerisch definiert werden und welchen Einfluss diese Bauteile oder Bauteilschichten auf das Gesamtergebnis einer Ökobilanz haben. 
Es wurden vereinfachte Berechnungsverfahren für eine ökologische Lebenszyklusbetrachtung entwickelt, welche mit einem vertretbaren Aufwand in frühen Planungsphasen zur Anwendung gebracht werden können. Insbesondere wurde darauf geachtet, dass die vereinfachten Berechnungsverfahren dem Projektkenntnisstand der jeweiligen Planungsphase entsprechen. Dadurch soll sichergestellt werden, dass die notwendigen Ausgangsdaten für die vereinfachten Berechnungsmethoden der jeweiligen Planungsphase entsprechen und dem Planungsteam ohne zusätzlichen bzw. mit vertretbarem Aufwand vorliegen. Die vorgeschlagenen Berechnungsverfahren wurden gegenüber einem vollständig normativen Berechnungsverfahren validiert. Dabei konnte erkannt werden, dass die Anwendung der vereinfachten Berechnungsverfahren aussagefähige Ergebnisse lieferen und sinnvoll angewendet werden kann. 
Auf Basis der untersuchten Referenzprojekte wurden Planungspiktogramme entwickelt, welche den Objektplaner dahingehend unterstützen sollen, eine Gebäudestruktur hinsichtlich der LCA-Indikatoren zu optimieren. Die Piktogramme erlauben eine praktikable und anschauliche Beurteilung von Planungsoptionen hinsichtlich einer ökologischen Optimierung.
Die untersuchten Referenzprojekte sind charakteristische Bauwerke und spiegeln Stahlbetonstandardkonstruktionen in Deutschland wieder, welche in den Zeiträumen 2014 bis 2017 realisiert wurden bzw. bis 2019 realisiert werden. Dabei wurde ein signifikanter Einfluss der Beton- und Bewehrungsstahlanteile auf die LCA-Ergebnisse erkannt. Auf Grundlage dieser Erkenntnis wurden unterschiedliche statische Systeme aus Stahlbeton auf stoffliche und konstruktive Alternativen untersucht und vergleichend betrachtet. Weiterhin wurde analysiert, welchen Einfluss die Spannweite, die Deckendicke und die Druckfestigkeit unter Wahrung der normativen Standsicherheit auf die Ergebnisse einer Ökobilanz haben. 
Um die Aufwendung einer vollständigen Sachbilanz zu prüfen, wurde abschließend eine Sensitivitätsanalyse für gebräuchliche Stoffgruppen erstellt und bewertet. Alle Untersuchungsergebnisse wurden zu einer Planungsstrategie zusammengefasst und sollen die Möglichkeit einer Optimierung im Planungsprozess hinsichtlich der LCA-Output-Ströme unterstützen."		Johrendt, Reinhold			com_hcu_13	2023-01-27T09:28:53Z
	Life-Cycle-Assessment				doc-type:doctoralThesis	Students							"This dissertation investigates the possibilities of compiling life cycle assessments during the design stage, while comparing the approach to common practice. For this purpose reference projects were examined and input as well as output streams were analysed. Another focus is on the various planning stages and their relevance for the definition of individual building components as well as their impact on the end result.
Simplified calculation methods for an ecological life cycle assessment were developed, which can be conducted during early project stages due to the low effort required. The calculation methods have been developed to correspond to the project team’s state of knowledge during each planning stage. Therefor the data required for the calculation methods has been optimized with regard to the data, which is available to the design team during each planning stage while generating little or no additional efforts. The proposed calculation methods have been validated with a fully standardised method and were proven to deliver meaningful results, which can be used reasonably.
Based on the reference projects that have been investigated, pictographs were developed to aid the planning team regarding lifecycle assessment optimization of the building structure. The pictographs allow for a clear and practicable assessment of design options regarding an ecological optimization.
The investigated reference projects are typical reinforced concrete structures and reflect characteristic buildings in Germany, which have been implemented between 2014 and 2017 or will be finished until 2019. Concrete and its reinforcement has the biggest impact on the life cycle assessment results. Based on this finding various reinforced concrete structures and constructive alternatives have been examined and compared. Furthermore an analysis to determine the influence of span, ceiling thickness and compressive strength on the results of a life cycle assessment, while maintaining the standardised structural stability has been undertaken.
To determine the expense of a complete life cycle inventory analysis, a sensitivity analysis for common groups of substances has been created and assessed. All results of this investigation have been compiled towards a planning strategy and are intended to support the optimisation of life cycle analysis output streams during the building’s design stage."					col_hcu_15	
	LCA																	open_access	
	Lebenszyklusanalyse																	doc-type:doctoralThesis	
	Life-Cycle-Analysis																	ddc:720	
	Life-Cycle-Assessment																		
	LCA																		
	Life-Cycle-Analysis																		
	720 Architektur																		
	Umweltbilanz																		
	Ökoeffizienz																		
	ddc:																		
	Umweltbilanz	xMetaDiss:GND																	
	Ökoeffizienz	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Baltic Inernational Summer School			Bögle, Annette	book	Researchers	978-3-941722-79-8	info:eu-repo/semantics/openAccess	Think the link. City Elements – Infrastructure and Networks Shaping Harbor Areas. Reflections on urban regeneration processes and documentation of the third Baltic International Summer School 2017 at HafenCity University Hamburg	application/pdf	2018-01-01	eng	"The professional reality is really interdisciplinary!
When city transformation and evolution starts, what are the tools for successful strategies for urban interventions? How does digital planning for digital fabrication processes look like?  How dedicated are the new professionals? And how does this all influence the future of bridge design?
These and other questions were analyzed by more than 60 students representing various disciplines of built environment and working together in international and interdisciplinary mixed project groups within the third Baltic International School (B.I.S.S.)—think the link. The B.I.S.S. launched by the HafenCity University Hamburg together with eight international partner universities from the Baltic Sea region aims to develop, test and implement new ways of interdisciplinary teaching, learning and designing as well as search for ties and correlations between experiences, cultures and cities, in particular around the infrastructural juncture along the Elbe Bridges, which was chosen as the area to be explored and worked on for 2017´s “City Elements—Infrastructure and Networks Shaping Harbor Areas” topic.
This publication serves as a source book for fresh and unconventional urban development and intervention in harbor cities as well as an inspiration for successful interdisciplinary working, teaching and learning. On top, it gives a full documentation of the B.I.S.S. and expert comments on the 15 interdisciplinary projects that were designed during the ten-day workshop in Hamburg in 2017."			HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:46:48Z
	B.I.S.S.			Popova, Emiliya	doc-type:book	Students	https://repos.hcu-hamburg.de/handle/hcu/491											col_hcu_15	
	BISS			Mujica von Seggern, Maria														open_access	
	Think the Link			Kasting, Frauke														doc-type:book	
	Interdisziplinarität			HafenCity GmbH, waterfront e.V.														ddc:720	
	interdisziplinär																		
	Ostsee																		
	Rothenburgsort																		
	HafenCity																		
	Baltic Inernational Summer School																		
	B.I.S.S.																		
	BISS																		
	Think the Link																		
	interdisciplinary																		
	Baltic Sea																		
	Rothenburgsort																		
	HafenCity																		
	City Elements																		
	720 Architektur																		
	Interdisziplinarität																		
	Sommerkurs																		
	HafenCity Universität Hamburg																		
	Ostseeraum																		
	ddc:																		
	Interdisziplinarität	xMetaDiss:GND																	
	Sommerkurs	xMetaDiss:GND																	
	HafenCity Universität Hamburg	xMetaDiss:GND																	
	Ostseeraum	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	London Olympic Games 2012			Vadiati, Niloufar	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/492	info:eu-repo/semantics/openAccess	Career Legacy of the London Olympic Games 2012 - Among Local East Londoners	application/pdf	2018-01-01	eng	"East London, the host neighbourhood of the Summer Olympic Games 2012, had been a hub of economic deprivation and urban regeneration for the three decades leading up to the Games. The legacy agenda of London 2012 was therefore presented as a once-in-a-lifetime opportunity to accelerate the regeneration process and address the deprivation issues of the area. One of the primary legacy commitments of the London 2012 strategy framework was to mitigate the impact of the 2008 recession on East London employment by providing jobs, training and career prospects.
At the same time, the Olympic Games are also an opportunity for a host city to showcase its delivery qualities and organisational capacities to the world through global media channels. While, because the project nature of the Olympic Games is highly complex, risky and prestigious, the host city and Olympic deliverers have been commonly accused of giving priority to transnational elites over the local workforce. This research addresses the employment outcomes of the London Olympic Games 2012 in terms of legacy commitments for local East Londoners and the delivery dedication. The main research question is:
What is the employment legacy of the London Olympic Games 2012 for local East Londoners?
The research question is examined by 
1) reviewing academic papers and evaluation reports on Olympic employment and 
2) a qualitative analysis of collected data from in-depth interviews with five Olympic experts and 80 locals in Olympic boroughs.
In addition, 50 LinkedIn profiles of London 2012 professionals are analysed in a complementary study. According to the findings, we can infer that although the Olympic employment programmes of London 2012 met their target number commitments, the occupational engagement of locals was limited to low-skilled jobs. The evidence shows that at the high-skilled employment level of London 2012, recruitment proceeded in an exclusive manner, with Olympic organisations being reluctant to put the delivery of the event at risk by taking people from outside their ‘trust circles’. In terms of the bid rhetoric, it can thus be suggested that the legacy building of the London Olympic Games 2012 displayed particular
shortcomings in ensuring that the labour market for the Games was effectively integrative and inclusive for local communities. Although this study focuses on the reality of the employment legacy of London 2012, the findings may well have a bearing on the neoliberal notions behind the legacy-building agenda and may strengthen the idea that hosting a mega-event such as London 2012 could lead to the reproduction of inequality in the local labour markets of host cities."		Grabher, Gernot			com_hcu_13	2023-01-27T09:25:46Z
	employment				doc-type:doctoralThesis	Students												col_hcu_15	
	East London																	open_access	
	710: Landschaftsgestaltung, Raumplanung																	doc-type:doctoralThesis	
	Großveranstaltung																	ddc:710	
	Olympische Spiele																		
	Olympische Spiele <30.																		
	2012																		
	London>																		
	Beschäftigung																		
	Nachhaltigkeit																		
	Gesellschaft																		
	ddc:710																		
	Großveranstaltung	xMetaDiss:GND																	
	Olympische Spiele	xMetaDiss:GND																	
	Olympische Spiele <30.	xMetaDiss:GND																	
	2012	xMetaDiss:GND																	
	London>	xMetaDiss:GND																	
	Beschäftigung	xMetaDiss:GND																	
	Nachhaltigkeit	xMetaDiss:GND	4326464-5																
	Gesellschaft	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Stadtplanung			Schmid, Jakob F.	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/493	info:eu-repo/semantics/openAccess	stadtnachacht – Stadtentwicklungspolitische Instrumente für das Management der urbanen Nachtökonomie	application/pdf	2018-01-01	ger	"Im Rahmen des Projekts stadtnachacht – Management der Urbanen Nachtökonomie (2014/2015) wurde das Themenfeld des freizeit- und konsumbezogenen Nachtlebens erstmals im deutschsprachigen Raum unter dezidiert stadtentwicklungspolitischen Vorzeichen explorativ betrachtet. Die Ergebnisse des Projekts legen nahe, dass mit dem Themenfeld nicht nur spezifische stadträumliche (allen voran die Thematik Lärm) und damit verbundenen stadtplanungsinhärente (Funktionstrennungsprinzip, Nutzungssystematik BauNVO) Konfliktsphären verknüpft sind, sondern die Stadt nach Acht insbesondere auch auf (stadtentwicklungs-)politischer Ebene spezifische Frage- und Problemstellungen aufwirft. Zu beobachten sind oftmals inkohärente Politikprozesse im Umgang mit dem freizeit- und konsumbezogenen Nachtleben. Den zuweilen durchaus vorhandenen Politikoutputs in Form konkreter, auf das Abend- und Nachtleben gerichteter Maßnahmen geht oftmals keine oder nur eine sehr rudimentäre Problemformulierung bzw. Themenbetrachtung auf der Ebene der Politikgenerierung voraus.
 
Diese erschwert auch eine qualifizierte fachliche (stadtplanerische) Problem- und Strategieformulierung in Bezug auf die stadträumlichen und stadtplanungsinhärenten Konfliktsphären. Zentrales Erkenntnisinteresse der vorliegenden Arbeit ist die Frage, an welchen Stellen stadtentwicklungspolitischer Prozesse sich diese themenspezifischen Frage- und Problemstellungen ergeben.

Auf Basis der im Rahmen des Projekts stadtnachacht – Management der Urbanen Nachtökonomie erhobenen Empirie (3 Fallstudien) werden in vorliegender Arbeit mittels eines Modells der Politikevaluation Leerstellen, Disparitäten und Hürden in den betrachteten Stadtentwicklungspolitikprozessen der Fallstudien identifiziert. Auf Basis dieser Erkenntnisse werden grundlegende Ansätze und Perspektiven für die Entwicklung von Management- und Governance-Arrangements im Kontext Abend- und Nachtleben aufgezeigt  als auch konkrete Handlungsempfehlungen in Form stadtentwicklungspolitischer Instrumente für das Management der urbanen Nachtökonomie formuliert. 
Als Vorrausetzung und Grundlage hierfür wird angesichts eines nur rudimentär vorhandenen fachlichen Diskurses über die Stadt nach Acht im Kontext des Städtebaus, der Stadtplanung und der Stadtentwicklungspolitik eine, das Forschungsfeld konstituierende, Forschungsperspektive in Form der freizeit- und konsumbezogenen Nachtökonomie formuliert."		Krüger, Thomas			com_hcu_13	2023-01-27T09:30:28Z
