,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;
38322.0,15335.0,4480.0,4500.0,24315.0,14158.0,3778.0,3764.0,21700.0,9149.0,3184.0,4204.0,16537.0,3144.0,809.0,1045.0,4998.0,4327.0,1314.0,1700.0,7341.0,1430.0,382.0,433.0,2245.0,271.0,173.0,203.0,647.0,859.0,191.0,147.0,1197.0,48673.0,14311.0,15996.0,78980.0,16076.0,4438.0,4714.0,25228.0,13624.0,3694.0,3844.0,21162.0,9622.0,3191.0,4339.0,17153.0,3147.0,740.0,1007.0,4895.0,4200.0,1290.0,1687.0,7177.0,943.0,327.0,409.0,1679.0,324.0,173.0,208.0,705.0,853.0,194.0,157.0,1204.0,48790.0,14047.0,16366.0,79203.0,16417.0,4851.0,4772.0,26040.0,13977.0,3914.0,3667.0,21558.0,9911.0,3379.0,4302.0,17591.0,3403.0,972.0,1011.0,5386.0,4653.0,1510.0,1738.0,7902.0,988.0,341.0,407.0,1735.0,372.0,166.0,218.0,755.0,893.0,206.0,161.0,1260.0,50613.0,15339.0,16276.0,82228.0
38353.0,14299.0,4443.0,3752.0,22494.0,11664.0,3537.0,2862.0,18063.0,8300.0,2951.0,3323.0,14574.0,2807.0,843.0,825.0,4475.0,4038.0,1500.0,1412.0,6950.0,845.0,323.0,311.0,1479.0,284.0,118.0,158.0,560.0,838.0,162.0,118.0,1118.0,43075.0,13877.0,12761.0,69713.0,16295.0,4939.0,5093.0,26326.0,13988.0,4021.0,3868.0,21878.0,10006.0,3408.0,4238.0,17652.0,3401.0,929.0,1065.0,5395.0,4768.0,1586.0,1793.0,8146.0,1056.0,354.0,431.0,1841.0,371.0,155.0,214.0,739.0,905.0,204.0,156.0,1266.0,50790.0,15596.0,16856.0,83243.0,16477.0,4897.0,4755.0,26129.0,13957.0,3949.0,3671.0,21576.0,10052.0,3435.0,4283.0,17770.0,3414.0,963.0,1006.0,5383.0,4697.0,1523.0,1746.0,7965.0,994.0,335.0,403.0,1732.0,379.0,167.0,214.0,759.0,905.0,209.0,159.0,1272.0,50874.0,15478.0,16236.0,82587.0
38384.0,16585.0,4871.0,4316.0,25772.0,13306.0,3971.0,3365.0,20642.0,10307.0,3500.0,4061.0,17868.0,3629.0,961.0,904.0,5494.0,4680.0,1578.0,1636.0,7894.0,795.0,300.0,337.0,1432.0,425.0,148.0,204.0,777.0,913.0,197.0,152.0,1262.0,50640.0,15526.0,14975.0,81141.0,16772.0,5085.0,4649.0,26507.0,13809.0,4065.0,3593.0,21467.0,10782.0,3681.0,4283.0,18746.0,3616.0,994.0,967.0,5577.0,4913.0,1613.0,1720.0,8246.0,958.0,326.0,387.0,1671.0,453.0,171.0,220.0,844.0,929.0,210.0,160.0,1299.0,52232.0,16145.0,15980.0,84356.0,16497.0,4907.0,4727.0,26132.0,13855.0,3972.0,3685.0,21511.0,10193.0,3473.0,4279.0,17946.0,3437.0,944.0,1004.0,5385.0,4746.0,1536.0,1752.0,8034.0,993.0,328.0,400.0,1721.0,388.0,169.0,214.0,771.0,905.0,209.0,157.0,1271.0,51014.0,15540.0,16218.0,82771.0
38412.0,17399.0,5460.0,4669.0,27528.0,13975.0,4528.0,3528.0,22031.0,11001.0,3965.0,4205.0,19171.0,3566.0,966.0,939.0,5471.0,5082.0,1719.0,1832.0,8633.0,848.0,345.0,381.0,1574.0,471.0,215.0,203.0,889.0,940.0,256.0,145.0,1341.0,53282.0,17454.0,15902.0,86638.0,16522.0,5138.0,4450.0,26110.0,13718.0,4181.0,3394.0,21294.0,10133.0,3544.0,4177.0,17854.0,3463.0,921.0,974.0,5358.0,4776.0,1632.0,1770.0,8178.0,1037.0,329.0,372.0,1739.0,381.0,186.0,215.0,782.0,987.0,231.0,156.0,1374.0,51016.0,16163.0,15509.0,82688.0,16493.0,4868.0,4704.0,26065.0,13750.0,3974.0,3710.0,21434.0,10315.0,3468.0,4303.0,18087.0,3459.0,921.0,1006.0,5387.0,4790.0,1546.0,1762.0,8098.0,987.0,316.0,399.0,1702.0,396.0,170.0,220.0,786.0,896.0,208.0,156.0,1261.0,51088.0,15472.0,16260.0,82819.0
38443.0,15399.0,4354.0,4601.0,24354.0,12305.0,3575.0,3677.0,19557.0,9429.0,3128.0,4274.0,16831.0,3195.0,819.0,1034.0,5048.0,4304.0,1351.0,1684.0,7339.0,752.0,258.0,365.0,1375.0,490.0,158.0,211.0,859.0,777.0,169.0,178.0,1124.0,46651.0,13812.0,16024.0,76487.0,16754.0,4701.0,4711.0,26166.0,13635.0,3795.0,3779.0,21210.0,10270.0,3463.0,4455.0,18188.0,3451.0,867.0,1029.0,5347.0,4836.0,1469.0,1836.0,8140.0,956.0,302.0,400.0,1658.0,403.0,168.0,202.0,774.0,772.0,199.0,175.0,1146.0,51077.0,14964.0,16587.0,82628.0,16476.0,4804.0,4711.0,25991.0,13695.0,3952.0,3748.0,21395.0,10413.0,3429.0,4365.0,18207.0,3466.0,901.0,1011.0,5378.0,4819.0,1559.0,1782.0,8160.0,982.0,306.0,401.0,1688.0,401.0,170.0,231.0,803.0,887.0,206.0,161.0,1254.0,51140.0,15327.0,16410.0,82877.0
38473.0,16121.0,4902.0,5225.0,26248.0,13669.0,3912.0,4383.0,21964.0,10255.0,3415.0,4615.0,18285.0,3560.0,922.0,1067.0,5549.0,4588.0,1617.0,1875.0,8080.0,890.0,277.0,474.0,1641.0,480.0,171.0,262.0,913.0,900.0,214.0,160.0,1274.0,50463.0,15430.0,18061.0,83954.0,16351.0,4634.0,4772.0,25757.0,13703.0,3833.0,4075.0,21611.0,10342.0,3285.0,4371.0,17999.0,3469.0,891.0,1024.0,5384.0,4832.0,1588.0,1755.0,8175.0,993.0,263.0,387.0,1643.0,391.0,153.0,248.0,793.0,906.0,202.0,136.0,1245.0,50988.0,14849.0,16769.0,82606.0,16412.0,4734.0,4741.0,25887.0,13702.0,3903.0,3791.0,21397.0,10476.0,3374.0,4445.0,18294.0,3455.0,886.0,1013.0,5355.0,4820.0,1575.0,1816.0,8211.0,983.0,304.0,404.0,1690.0,400.0,170.0,246.0,815.0,882.0,204.0,168.0,1253.0,51128.0,15149.0,16624.0,82902.0
38504.0,18725.0,5590.0,6430.0,30745.0,15814.0,4696.0,4983.0,25493.0,14170.0,4113.0,6373.0,24656.0,4030.0,1084.0,1472.0,6586.0,5582.0,1956.0,2475.0,10013.0,951.0,419.0,682.0,2052.0,530.0,242.0,413.0,1185.0,979.0,217.0,219.0,1415.0,60781.0,18317.0,23047.0,102145.0,15780.0,4430.0,4871.0,25082.0,13792.0,3830.0,3793.0,21415.0,10703.0,3185.0,4600.0,18487.0,3424.0,862.0,1032.0,5318.0,4812.0,1478.0,1813.0,8102.0,938.0,338.0,476.0,1752.0,391.0,174.0,295.0,861.0,848.0,187.0,171.0,1206.0,50689.0,14484.0,17050.0,82223.0,16290.0,4671.0,4771.0,25732.0,13749.0,3832.0,3819.0,21400.0,10508.0,3316.0,4512.0,18337.0,3433.0,875.0,1011.0,5319.0,4814.0,1597.0,1857.0,8268.0,993.0,306.0,406.0,1706.0,396.0,167.0,259.0,822.0,883.0,202.0,175.0,1259.0,51066.0,14966.0,16811.0,82842.0
38534.0,15929.0,4481.0,4588.0,24998.0,12948.0,3473.0,3604.0,20025.0,10487.0,2990.0,4154.0,17631.0,3137.0,766.0,910.0,4813.0,4456.0,1499.0,1772.0,7727.0,834.0,256.0,348.0,1438.0,361.0,174.0,232.0,767.0,864.0,183.0,195.0,1242.0,49016.0,13822.0,15803.0,78641.0,16268.0,4693.0,4748.0,25710.0,13551.0,3783.0,3760.0,21094.0,10400.0,3223.0,4537.0,18160.0,3377.0,861.0,979.0,5217.0,4766.0,1667.0,1890.0,8323.0,990.0,285.0,365.0,1640.0,392.0,176.0,254.0,822.0,904.0,192.0,197.0,1293.0,50648.0,14879.0,16731.0,82258.0,16157.0,4628.0,4781.0,25565.0,13810.0,3772.0,3839.0,21422.0,10500.0,3269.0,4554.0,18324.0,3425.0,868.0,1007.0,5300.0,4831.0,1625.0,1900.0,8356.0,1009.0,311.0,405.0,1725.0,391.0,164.0,265.0,820.0,889.0,200.0,179.0,1268.0,51011.0,14838.0,16930.0,82779.0
38565.0,16829.0,4603.0,4860.0,26292.0,14727.0,3869.0,3954.0,22550.0,11299.0,3390.0,4641.0,19330.0,3496.0,929.0,1033.0,5458.0,4974.0,1719.0,2021.0,8714.0,1018.0,276.0,395.0,1689.0,340.0,149.0,262.0,751.0,965.0,238.0,190.0,1393.0,53648.0,15173.0,17356.0,86177.0,16434.0,4638.0,4819.0,25891.0,14203.0,3833.0,3858.0,21894.0,10594.0,3329.0,4607.0,18530.0,3371.0,909.0,1018.0,5297.0,4808.0,1735.0,2036.0,8579.0,1006.0,287.0,402.0,1695.0,376.0,148.0,262.0,785.0,910.0,221.0,194.0,1326.0,51702.0,15101.0,17196.0,83999.0,16022.0,4614.0,4756.0,25393.0,13884.0,3737.0,3851.0,21472.0,10443.0,3247.0,4560.0,18250.0,3437.0,866.0,997.0,5300.0,4888.0,1662.0,1940.0,8490.0,1016.0,314.0,401.0,1731.0,387.0,160.0,264.0,812.0,893.0,201.0,180.0,1274.0,50971.0,14801.0,16949.0,82721.0
38596.0,15883.0,4778.0,4796.0,25457.0,14415.0,3709.0,3920.0,22044.0,10343.0,3354.0,4647.0,18344.0,3451.0,826.0,966.0,5243.0,5442.0,1651.0,2032.0,9125.0,1370.0,390.0,391.0,2151.0,353.0,156.0,284.0,793.0,861.0,216.0,206.0,1283.0,52118.0,15080.0,17242.0,84440.0,15963.0,5086.0,4825.0,25874.0,13960.0,3728.0,3876.0,21564.0,10494.0,3491.0,4606.0,18591.0,3520.0,877.0,984.0,5381.0,4993.0,1766.0,2004.0,8763.0,1134.0,444.0,409.0,1987.0,422.0,169.0,282.0,873.0,908.0,218.0,197.0,1323.0,51395.0,15779.0,17184.0,84358.0,15901.0,4603.0,4701.0,25205.0,13951.0,3710.0,3862.0,21524.0,10321.0,3240.0,4539.0,18100.0,3452.0,872.0,984.0,5308.0,4953.0,1694.0,1971.0,8618.0,1007.0,312.0,395.0,1713.0,383.0,157.0,258.0,798.0,889.0,201.0,178.0,1269.0,50857.0,14789.0,16889.0,82536.0
38626.0,15007.0,3841.0,4101.0,22949.0,13634.0,3154.0,3501.0,20289.0,9081.0,2748.0,4197.0,16026.0,3420.0,748.0,862.0,5030.0,5023.0,1484.0,1842.0,8349.0,1090.0,243.0,322.0,1655.0,297.0,123.0,239.0,659.0,882.0,162.0,117.0,1161.0,48434.0,12503.0,15181.0,76118.0,15370.0,4100.0,4400.0,23869.0,13672.0,3417.0,3704.0,20794.0,9948.0,3034.0,4401.0,17382.0,3476.0,822.0,936.0,5234.0,4909.0,1602.0,1937.0,8448.0,1020.0,230.0,366.0,1615.0,354.0,142.0,245.0,740.0,891.0,177.0,132.0,1200.0,49640.0,13523.0,16120.0,79283.0,15795.0,4573.0,4646.0,25014.0,13971.0,3677.0,3878.0,21526.0,10151.0,3231.0,4506.0,17888.0,3450.0,876.0,973.0,5299.0,5001.0,1713.0,1992.0,8707.0,979.0,308.0,391.0,1679.0,378.0,153.0,252.0,783.0,875.0,202.0,175.0,1252.0,50600.0,14733.0,16814.0,82146.0
38657.0,16711.0,4385.0,4620.0,25716.0,14881.0,3677.0,3870.0,22428.0,9761.0,3030.0,4390.0,17181.0,3679.0,827.0,994.0,5500.0,5528.0,1690.0,1889.0,9107.0,994.0,277.0,396.0,1667.0,334.0,147.0,209.0,690.0,863.0,219.0,167.0,1249.0,52751.0,14252.0,16535.0,83538.0,15925.0,4474.0,4576.0,24975.0,14140.0,3715.0,3900.0,21754.0,10077.0,3043.0,4480.0,17600.0,3485.0,833.0,1000.0,5318.0,5396.0,1687.0,1930.0,9013.0,831.0,271.0,392.0,1493.0,368.0,150.0,205.0,723.0,849.0,194.0,168.0,1211.0,51070.0,14368.0,16650.0,82089.0,15729.0,4520.0,4611.0,24859.0,13930.0,3634.0,3890.0,21454.0,9996.0,3212.0,4472.0,17680.0,3431.0,875.0,963.0,5268.0,5020.0,1715.0,2003.0,8738.0,938.0,302.0,392.0,1632.0,374.0,149.0,250.0,773.0,854.0,202.0,171.0,1227.0,50271.0,14609.0,16751.0,81631.0
38687.0,14233.0,4482.0,4339.0,23054.0,14198.0,3913.0,3999.0,22110.0,8819.0,3231.0,4158.0,16208.0,3397.0,997.0,941.0,5335.0,4911.0,1713.0,2040.0,8664.0,1332.0,347.0,401.0,2080.0,288.0,160.0,242.0,690.0,767.0,203.0,166.0,1136.0,47945.0,15046.0,16286.0,79277.0,15462.0,4615.0,4655.0,24732.0,13997.0,3883.0,4222.0,22102.0,9620.0,3277.0,4385.0,17282.0,3403.0,966.0,959.0,5329.0,4903.0,1756.0,2095.0,8754.0,896.0,313.0,391.0,1601.0,359.0,157.0,259.0,775.0,788.0,208.0,177.0,1174.0,49428.0,15177.0,17143.0,81748.0,15728.0,4454.0,4589.0,24771.0,13846.0,3592.0,3878.0,21316.0,9901.0,3179.0,4446.0,17526.0,3400.0,870.0,954.0,5224.0,5019.0,1708.0,2009.0,8736.0,897.0,297.0,393.0,1588.0,369.0,147.0,252.0,769.0,837.0,199.0,169.0,1206.0,49998.0,14446.0,16690.0,81134.0
38718.0,14359.0,4058.0,3578.0,21995.0,11989.0,3081.0,2806.0,17876.0,8492.0,3006.0,3609.0,15107.0,2836.0,831.0,713.0,4380.0,4293.0,1693.0,1618.0,7604.0,705.0,287.0,303.0,1295.0,301.0,104.0,211.0,616.0,786.0,191.0,153.0,1130.0,43761.0,13251.0,12991.0,70003.0,15795.0,4398.0,4607.0,24800.0,13585.0,3392.0,3727.0,20704.0,9990.0,3356.0,4513.0,17859.0,3292.0,887.0,922.0,5100.0,4935.0,1767.0,2031.0,8733.0,857.0,296.0,411.0,1563.0,379.0,135.0,283.0,798.0,835.0,210.0,187.0,1232.0,49668.0,14441.0,16681.0,80789.0,15776.0,4386.0,4567.0,24730.0,13700.0,3552.0,3829.0,21082.0,9862.0,3144.0,4440.0,17446.0,3370.0,857.0,948.0,5175.0,5015.0,1700.0,2018.0,8733.0,874.0,295.0,391.0,1560.0,365.0,148.0,255.0,768.0,828.0,195.0,170.0,1194.0,49791.0,14278.0,16619.0,80688.0
38749.0,15995.0,4229.0,4271.0,24495.0,13170.0,3354.0,3455.0,19979.0,9373.0,2875.0,4204.0,16452.0,3379.0,792.0,914.0,5085.0,4629.0,1656.0,1880.0,8165.0,746.0,290.0,337.0,1373.0,353.0,136.0,242.0,731.0,838.0,174.0,154.0,1166.0,48483.0,13506.0,15457.0,77446.0,16032.0,4372.0,4577.0,24981.0,13659.0,3410.0,3670.0,20740.0,9804.0,3035.0,4459.0,17297.0,3347.0,822.0,974.0,5144.0,4874.0,1691.0,1993.0,8558.0,884.0,314.0,386.0,1584.0,373.0,156.0,257.0,787.0,838.0,183.0,161.0,1182.0,49812.0,13984.0,16476.0,80273.0,15816.0,4335.0,4531.0,24682.0,13486.0,3520.0,3761.0,20767.0,9869.0,3122.0,4442.0,17433.0,3351.0,844.0,948.0,5142.0,5027.0,1703.0,2034.0,8764.0,876.0,296.0,384.0,1557.0,360.0,150.0,257.0,767.0,828.0,192.0,172.0,1191.0,49613.0,14161.0,16529.0,80303.0
38777.0,17105.0,5011.0,5049.0,27165.0,13625.0,3889.0,3947.0,21461.0,11332.0,3604.0,4897.0,19833.0,3340.0,837.0,1018.0,5195.0,5599.0,1866.0,2285.0,9750.0,820.0,329.0,391.0,1540.0,467.0,157.0,289.0,913.0,900.0,203.0,196.0,1299.0,53188.0,15896.0,18072.0,87156.0,15721.0,4248.0,4456.0,24424.0,12881.0,3466.0,3590.0,19936.0,10014.0,3052.0,4387.0,17453.0,3250.0,735.0,928.0,4913.0,5106.0,1622.0,2052.0,8780.0,884.0,323.0,380.0,1587.0,360.0,143.0,255.0,759.0,831.0,195.0,177.0,1203.0,49046.0,13783.0,16225.0,79055.0,15791.0,4294.0,4470.0,24554.0,13252.0,3483.0,3691.0,20426.0,9909.0,3112.0,4450.0,17471.0,3340.0,833.0,956.0,5129.0,5064.0,1719.0,2053.0,8836.0,896.0,300.0,374.0,1570.0,355.0,152.0,257.0,765.0,832.0,188.0,171.0,1191.0,49440.0,14080.0,16422.0,79942.0
38808.0,13667.0,3549.0,3955.0,21171.0,11088.0,3106.0,3442.0,17636.0,8493.0,2523.0,3804.0,14820.0,3007.0,779.0,833.0,4619.0,4320.0,1442.0,1745.0,7507.0,610.0,206.0,313.0,1129.0,388.0,154.0,222.0,764.0,734.0,142.0,128.0,1004.0,42307.0,11901.0,14442.0,68650.0,16118.0,4200.0,4401.0,24720.0,13557.0,3552.0,3736.0,20844.0,10039.0,3009.0,4411.0,17459.0,3466.0,883.0,927.0,5277.0,5150.0,1726.0,2058.0,8934.0,885.0,238.0,355.0,1478.0,334.0,164.0,251.0,749.0,854.0,173.0,157.0,1184.0,50404.0,13945.0,16297.0,80645.0,15712.0,4247.0,4386.0,24345.0,13062.0,3437.0,3633.0,20132.0,9962.0,3113.0,4450.0,17524.0,3337.0,825.0,969.0,5131.0,5126.0,1745.0,2074.0,8946.0,910.0,304.0,363.0,1576.0,352.0,153.0,254.0,759.0,839.0,184.0,167.0,1190.0,49299.0,14008.0,16296.0,79603.0
38838.0,16054.0,4379.0,4691.0,25124.0,13235.0,3525.0,4016.0,20776.0,10466.0,3400.0,4908.0,18774.0,3583.0,875.0,1143.0,5601.0,5211.0,1933.0,2328.0,9472.0,855.0,342.0,426.0,1623.0,427.0,190.0,246.0,863.0,852.0,172.0,200.0,1224.0,50683.0,14816.0,17958.0,83457.0,15684.0,4093.0,4296.0,24074.0,12993.0,3402.0,3619.0,20014.0,9993.0,3168.0,4566.0,17727.0,3367.0,812.0,1053.0,5232.0,5397.0,1819.0,2129.0,9346.0,980.0,329.0,331.0,1641.0,343.0,163.0,234.0,739.0,839.0,163.0,167.0,1169.0,49596.0,13949.0,16396.0,79941.0,15643.0,4202.0,4301.0,24147.0,12991.0,3395.0,3596.0,19982.0,10010.0,3117.0,4439.0,17566.0,3334.0,820.0,981.0,5135.0,5202.0,1780.0,2099.0,9080.0,908.0,303.0,352.0,1563.0,353.0,153.0,247.0,753.0,845.0,181.0,163.0,1188.0,49286.0,13951.0,16179.0,79416.0
38869.0,17554.0,5490.0,5516.0,28560.0,14296.0,4241.0,4478.0,23015.0,12733.0,4201.0,6157.0,23091.0,3874.0,976.0,1314.0,6164.0,6040.0,2323.0,2807.0,11170.0,1059.0,390.0,487.0,1936.0,499.0,201.0,358.0,1058.0,971.0,257.0,226.0,1454.0,57026.0,18079.0,21343.0,96448.0,14957.0,4369.0,4184.0,23510.0,12162.0,3429.0,3469.0,19060.0,9719.0,3250.0,4417.0,17386.0,3309.0,800.0,960.0,5069.0,5145.0,1835.0,2088.0,9068.0,994.0,309.0,348.0,1651.0,367.0,151.0,255.0,774.0,850.0,212.0,172.0,1234.0,47502.0,14357.0,15893.0,77752.0,15646.0,4183.0,4244.0,24073.0,13052.0,3364.0,3582.0,19998.0,10049.0,3151.0,4421.0,17622.0,3326.0,816.0,989.0,5131.0,5274.0,1819.0,2127.0,9219.0,905.0,302.0,346.0,1554.0,360.0,155.0,240.0,756.0,850.0,181.0,160.0,1192.0,49463.0,13972.0,16109.0,79544.0
38899.0,15526.0,4096.0,4066.0,23688.0,12753.0,2985.0,3584.0,19322.0,10792.0,3050.0,4068.0,17910.0,3017.0,809.0,968.0,4794.0,4865.0,1754.0,2101.0,8720.0,700.0,281.0,353.0,1334.0,326.0,146.0,207.0,679.0,819.0,158.0,138.0,1115.0,48798.0,13279.0,15485.0,77562.0,15597.0,4299.0,4220.0,24116.0,13264.0,3305.0,3684.0,20252.0,10417.0,3253.0,4322.0,17992.0,3245.0,905.0,1008.0,5158.0,5255.0,1924.0,2193.0,9372.0,828.0,323.0,371.0,1521.0,361.0,147.0,232.0,740.0,843.0,174.0,144.0,1161.0,49810.0,14329.0,16173.0,80312.0,15723.0,4181.0,4217.0,24121.0,13183.0,3341.0,3569.0,20092.0,10073.0,3218.0,4391.0,17682.0,3307.0,809.0,985.0,5102.0,5333.0,1855.0,2150.0,9338.0,910.0,301.0,343.0,1554.0,372.0,160.0,234.0,765.0,858.0,183.0,158.0,1199.0,49759.0,14048.0,16047.0,79853.0
38930.0,16144.0,3848.0,4231.0,24223.0,14201.0,3243.0,3599.0,21043.0,10515.0,3177.0,4432.0,18124.0,3344.0,765.0,998.0,5107.0,5730.0,1879.0,2127.0,9736.0,850.0,270.0,316.0,1436.0,360.0,166.0,242.0,768.0,886.0,191.0,147.0,1224.0,52030.0,13539.0,16092.0,81661.0,16220.0,3953.0,4154.0,24327.0,13908.0,3109.0,3539.0,20556.0,10114.0,3166.0,4457.0,17737.0,3228.0,746.0,992.0,4965.0,5448.0,1829.0,2137.0,9415.0,810.0,275.0,313.0,1398.0,390.0,161.0,236.0,787.0,871.0,175.0,155.0,1201.0,50988.0,13414.0,15984.0,80386.0,15883.0,4195.0,4211.0,24289.0,13319.0,3329.0,3544.0,20192.0,10092.0,3299.0,4366.0,17758.0,3282.0,796.0,971.0,5049.0,5396.0,1887.0,2155.0,9438.0,918.0,298.0,341.0,1558.0,383.0,165.0,229.0,777.0,869.0,185.0,156.0,1210.0,50142.0,14155.0,15974.0,80271.0
38961.0,16378.0,3766.0,4123.0,24267.0,13736.0,3299.0,3414.0,20449.0,9881.0,3061.0,4119.0,17061.0,3343.0,677.0,883.0,4903.0,5842.0,1705.0,2169.0,9716.0,1001.0,360.0,327.0,1688.0,327.0,151.0,204.0,682.0,880.0,189.0,158.0,1227.0,51388.0,13208.0,15397.0,79993.0,16324.0,4156.0,4318.0,24798.0,13659.0,3468.0,3486.0,20613.0,10169.0,3337.0,4275.0,17781.0,3416.0,748.0,933.0,5096.0,5460.0,1914.0,2197.0,9571.0,884.0,427.0,356.0,1667.0,401.0,157.0,215.0,773.0,904.0,199.0,155.0,1257.0,51215.0,14406.0,15935.0,81556.0,16083.0,4227.0,4226.0,24536.0,13436.0,3348.0,3526.0,20310.0,10116.0,3382.0,4357.0,17856.0,3262.0,782.0,951.0,4994.0,5469.0,1918.0,2151.0,9538.0,933.0,295.0,337.0,1565.0,391.0,171.0,226.0,788.0,882.0,187.0,154.0,1222.0,50572.0,14308.0,15930.0,80810.0
38991.0,15926.0,4315.0,4138.0,24379.0,14085.0,3297.0,3403.0,20785.0,9184.0,3126.0,4315.0,16625.0,3225.0,699.0,857.0,4781.0,5727.0,1778.0,2086.0,9591.0,1175.0,323.0,299.0,1797.0,353.0,189.0,220.0,762.0,857.0,194.0,159.0,1210.0,50532.0,13921.0,15477.0,79930.0,16278.0,4476.0,4259.0,25014.0,13574.0,3479.0,3553.0,20606.0,9991.0,3355.0,4426.0,17773.0,3240.0,759.0,926.0,4925.0,5544.0,1903.0,2150.0,9597.0,1117.0,281.0,333.0,1730.0,417.0,221.0,219.0,857.0,874.0,186.0,167.0,1227.0,51035.0,14660.0,16033.0,81727.0,16306.0,4266.0,4256.0,24827.0,13557.0,3389.0,3528.0,20474.0,10178.0,3465.0,4382.0,18025.0,3255.0,772.0,935.0,4962.0,5537.0,1957.0,2149.0,9643.0,951.0,290.0,333.0,1574.0,395.0,176.0,226.0,797.0,897.0,189.0,154.0,1239.0,51074.0,14504.0,15963.0,81541.0
